"primarygenre","year","AverageRating","HighestRating","LowestRated","NumberOfMovies"
"Animation","1965","84.0","How the Grinch Stole Christmas!","How the Grinch Stole Christmas!","1"
"Animation","1966","99.0","It's the Great Pumpkin, Charlie Brown","It's the Great Pumpkin, Charlie Brown","1"
"Animation","1967","95.0","Jungle Book, The","Jungle Book, The","1"
"Animation","1968","84.0","Bambi Meets Godzilla","Winnie the Pooh and the Blustery Day","2"
"Animation","1969","92.0","Aristocats, The","Aristocats, The","1"
"Animation","1971","68.5","Fritz the Cat","Snoopy Come Home","2"
"Animation","1973","83.0","Charlotte's Web","Fantastic Planet, The (Planète sauvage, La)","3"
"Animation","1974","81.0","Nine Lives of Fritz the Cat, The","Nine Lives of Fritz the Cat, The","1"
"Animation","1976","56.0","Wizards","Wizards","1"
"Animation","1977","67.0","Many Adventures of Winnie the Pooh, The","Hobbit, The","2"
"Animation","1979","76.0","Bon Voyage, Charlie Brown (and Don't Come Back!)","Bon Voyage, Charlie Brown (and Don't Come Back!)","1"
"Animation","1980","87.5","Fly, The (Légy, A)","Looney, Looney, Looney Bugs Bunny Movie, The","2"
"Animation","1981","85.5","American Pop","Fox and the Hound, The","2"
"Children","1952","90.0","Hans Christian Andersen","Hans Christian Andersen","1"
"Children","1953","57.0","5,000 Fingers of Dr. T, The","By the Light of the Silvery Moon","2"
"Children","1955","62.0","Red Balloon, The (Ballon rouge, Le)","Red Balloon, The (Ballon rouge, Le)","1"
"Children","1957","56.0","Old Yeller","Old Yeller","1"
"Children","1958","86.0","Tom Thumb","Tom Thumb","1"
"Children","1959","100.0","Shaggy Dog, The","Shaggy Dog, The","1"
"Children","1960","65.5","Peter Pan","Babes in Toyland","4"
"Children","1961","92.5","Absent-Minded Professor, The","Parent Trap, The","2"
"Children","1962","66.0","Music Man, The","Music Man, The","1"
"Children","1963","84.33333333333333","Mary Poppins","Son of Flubber","3"
"Children","1965","61.5","Ugly Dachshund, The","That Darn Cat!","2"
"Children","1967","65.0","One and Only, Genuine, Original Family Band, The","Blackbeard's Ghost","2"
"Children","1968","74.33333333333333","Love Bug, The","Computer Wore Tennis Shoes, The","3"
"Children","1970","79.0","Million Dollar Duck, The (a.k.a. $1,000,000 Duck)","Railway Children, The","2"
"Children","1971","85.33333333333333","Barefoot Executive, The","Willy Wonka & the Chocolate Factory","3"
"Children","1974","58.0","Herbie Rides Again","Herbie Rides Again","1"
"Children","1975","78.0","Apple Dumpling Gang, The","Shaggy D.A., The","3"
"Children","1976","88.0","Freaky Friday","Freaky Friday","1"
"Children","1978","83.0","Return from Witch Mountain","Cat from Outer Space, The","3"
